sector,expectedTerritory,status,addressCount,detail
PA3 4,Renfrewshire and Barrhead,PASS,172,""
ML8 5,South Lanarkshire – Lanark,PASS,305,""
ML10 6,South Lanarkshire – Lanark,PASS,348,""
ML3 7,South Lanarkshire – Lanark,PASS,333,""
G75 9,South Lanarkshire – Lanark,PASS,214,""
ML8 4,South Lanarkshire – Lanark,PASS,222,""
ML3 6,South Lanarkshire – Lanark,PASS,180,""
G75 0,South Lanarkshire – Lanark,PASS,240,""
ML12 6,South Lanarkshire – Lanark,PASS,348,""
ML11 9,South Lanarkshire – Lanark,PASS,353,""
ML11 8,South Lanarkshire – Lanark,PASS,259,""
